term_id,name,slug
448,Business,business
761,Politics,politics
844,Technology,technology
968,Sports,sports
13856,Entertainment,entertainment
23977,Automobiles,automobiles
45376,"Personal Finance",personal-finance
70654,Life,life
237,Video,video
124481,"Gear Style",gear-style
124485,"Health Fitness",health-fitness
124490,"Money Career",money-career
124496,Culture,culture
1,"Special Feature",hub
